NoRecords,RecordOrder,Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
583,1,TM,Detailed trade matrix,10,Australia,156,New Zealand,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,7,,Official data
583,2,TM,Detailed trade matrix,10,Australia,171,Philippines,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,5,,Official data
583,3,TM,Detailed trade matrix,11,Austria,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,58,,Official data
583,4,TM,Detailed trade matrix,11,Austria,97,Hungary,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,5,TM,Detailed trade matrix,11,Austria,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,22,,Official data
583,6,TM,Detailed trade matrix,57,Belarus,63,Estonia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,70,,Official data
583,7,TM,Detailed trade matrix,255,Belgium,10,Australia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,44,,Official data
583,8,TM,Detailed trade matrix,255,Belgium,11,Austria,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,171,,Official data
583,9,TM,Detailed trade matrix,255,Belgium,13,Bahrain,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,2,,Official data
583,10,TM,Detailed trade matrix,255,Belgium,21,Brazil,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3,,Official data
583,11,TM,Detailed trade matrix,255,Belgium,27,Bulgaria,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,12,TM,Detailed trade matrix,255,Belgium,33,Canada,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,12,,Official data
583,13,TM,Detailed trade matrix,255,Belgium,351,China,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,4,,Official data
583,14,TM,Detailed trade matrix,255,Belgium,96,"China, Hong Kong SAR",5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,15,TM,Detailed trade matrix,255,Belgium,214,"China, Taiwan Province of",5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3,,Official data
583,16,TM,Detailed trade matrix,255,Belgium,50,Cyprus,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,17,TM,Detailed trade matrix,255,Belgium,167,Czech Republic,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,18,TM,Detailed trade matrix,255,Belgium,54,Denmark,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,10,,Official data
583,19,TM,Detailed trade matrix,255,Belgium,63,Estonia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,20,TM,Detailed trade matrix,255,Belgium,67,Finland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,21,TM,Detailed trade matrix,255,Belgium,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,75029,,Official data
583,22,TM,Detailed trade matrix,255,Belgium,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,145226,,Official data
583,23,TM,Detailed trade matrix,255,Belgium,84,Greece,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,24,TM,Detailed trade matrix,255,Belgium,97,Hungary,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,65,,Official data
583,25,TM,Detailed trade matrix,255,Belgium,99,Iceland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,26,TM,Detailed trade matrix,255,Belgium,100,India,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,27,TM,Detailed trade matrix,255,Belgium,104,Ireland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,2,,Official data
583,28,TM,Detailed trade matrix,255,Belgium,105,Israel,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,78,,Official data
583,29,TM,Detailed trade matrix,255,Belgium,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,11622,,Official data
583,30,TM,Detailed trade matrix,255,Belgium,112,Jordan,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,31,TM,Detailed trade matrix,255,Belgium,121,Lebanon,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,32,TM,Detailed trade matrix,255,Belgium,126,Lithuania,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,33,TM,Detailed trade matrix,255,Belgium,256,Luxembourg,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,34,TM,Detailed trade matrix,255,Belgium,131,Malaysia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,35,TM,Detailed trade matrix,255,Belgium,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,25575,,Official data
583,36,TM,Detailed trade matrix,255,Belgium,162,Norway,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,37,TM,Detailed trade matrix,255,Belgium,173,Poland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,33,,Official data
583,38,TM,Detailed trade matrix,255,Belgium,174,Portugal,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,39,TM,Detailed trade matrix,255,Belgium,185,Russian Federation,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,205,,Official data
583,40,TM,Detailed trade matrix,255,Belgium,272,Serbia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,4,,Official data
583,41,TM,Detailed trade matrix,255,Belgium,196,Seychelles,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,42,TM,Detailed trade matrix,255,Belgium,200,Singapore,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,2,,Official data
583,43,TM,Detailed trade matrix,255,Belgium,199,Slovakia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,29326,,Official data
583,44,TM,Detailed trade matrix,255,Belgium,198,Slovenia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,45,TM,Detailed trade matrix,255,Belgium,203,Spain,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,934,,Official data
583,46,TM,Detailed trade matrix,255,Belgium,38,Sri Lanka,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,47,TM,Detailed trade matrix,255,Belgium,210,Sweden,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,119,,Official data
583,48,TM,Detailed trade matrix,255,Belgium,211,Switzerland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1547,,Official data
583,49,TM,Detailed trade matrix,255,Belgium,223,Turkey,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,230,,Official data
583,50,TM,Detailed trade matrix,255,Belgium,230,Ukraine,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,317,,Official data
583,51,TM,Detailed trade matrix,255,Belgium,229,United Kingdom,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1854,,Official data
583,52,TM,Detailed trade matrix,255,Belgium,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,324,,Official data
583,53,TM,Detailed trade matrix,23,Belize,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,21,,Official data
583,54,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),9,Argentina,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,702,,Official data
583,55,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),54,Denmark,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,141,,Official data
583,56,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,417,,Official data
583,57,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,9,,Official data
583,58,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),211,Switzerland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,643,,Official data
583,59,TM,Detailed trade matrix,19,Bolivia (Plurinational State of),231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,89,,Official data
583,60,TM,Detailed trade matrix,20,Botswana,147,Namibia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,61,TM,Detailed trade matrix,21,Brazil,9,Argentina,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,432,,Official data
583,62,TM,Detailed trade matrix,21,Brazil,255,Belgium,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,148,,Official data
583,63,TM,Detailed trade matrix,21,Brazil,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,487,,Official data
583,64,TM,Detailed trade matrix,21,Brazil,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,309,,Official data
583,65,TM,Detailed trade matrix,21,Brazil,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,27,,Official data
583,66,TM,Detailed trade matrix,21,Brazil,110,Japan,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1398,,Official data
583,67,TM,Detailed trade matrix,21,Brazil,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,83,,Official data
583,68,TM,Detailed trade matrix,21,Brazil,169,Paraguay,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,69,TM,Detailed trade matrix,21,Brazil,174,Portugal,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,13,,Official data
583,70,TM,Detailed trade matrix,21,Brazil,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,71,TM,Detailed trade matrix,32,Cameroon,255,Belgium,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,677,,Official data
583,72,TM,Detailed trade matrix,32,Cameroon,351,China,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3884,,Official data
583,73,TM,Detailed trade matrix,32,Cameroon,41,"China, mainland",5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3884,,Official data
583,74,TM,Detailed trade matrix,32,Cameroon,63,Estonia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,285,,Official data
583,75,TM,Detailed trade matrix,32,Cameroon,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,76,TM,Detailed trade matrix,32,Cameroon,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,34378,,Official data
583,77,TM,Detailed trade matrix,32,Cameroon,101,Indonesia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,7248,,Official data
583,78,TM,Detailed trade matrix,32,Cameroon,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,409,,Official data
583,79,TM,Detailed trade matrix,32,Cameroon,131,Malaysia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,42785,,Official data
583,80,TM,Detailed trade matrix,32,Cameroon,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,375024,,Official data
583,81,TM,Detailed trade matrix,32,Cameroon,203,Spain,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,39744,,Official data
583,82,TM,Detailed trade matrix,32,Cameroon,216,Thailand,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,4772,,Official data
583,83,TM,Detailed trade matrix,32,Cameroon,223,Turkey,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,2975,,Official data
583,84,TM,Detailed trade matrix,33,Canada,3,Albania,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,85,TM,Detailed trade matrix,33,Canada,255,Belgium,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,22,,Official data
583,86,TM,Detailed trade matrix,33,Canada,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,87,TM,Detailed trade matrix,33,Canada,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,37,,Official data
583,88,TM,Detailed trade matrix,33,Canada,105,Israel,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,33,,Official data
583,89,TM,Detailed trade matrix,33,Canada,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,231,,Official data
583,90,TM,Detailed trade matrix,33,Canada,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1858,,Official data
583,91,TM,Detailed trade matrix,351,China,10,Australia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,92,TM,Detailed trade matrix,214,"China, Taiwan Province of",10,Australia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,93,TM,Detailed trade matrix,44,Colombia,33,Canada,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1031,,Official data
583,94,TM,Detailed trade matrix,44,Colombia,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,95,TM,Detailed trade matrix,44,Colombia,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1009,,Official data
583,96,TM,Detailed trade matrix,44,Colombia,100,India,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,673,,Official data
583,97,TM,Detailed trade matrix,44,Colombia,101,Indonesia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,98,TM,Detailed trade matrix,44,Colombia,110,Japan,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1275,,Official data
583,99,TM,Detailed trade matrix,44,Colombia,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1026,,Official data
583,100,TM,Detailed trade matrix,44,Colombia,117,Republic of Korea,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,101,TM,Detailed trade matrix,44,Colombia,200,Singapore,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,164,,Official data
583,102,TM,Detailed trade matrix,44,Colombia,203,Spain,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1277,,Official data
583,103,TM,Detailed trade matrix,44,Colombia,210,Sweden,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,104,TM,Detailed trade matrix,44,Colombia,211,Switzerland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,0,,Official data
583,105,TM,Detailed trade matrix,44,Colombia,223,Turkey,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,355,,Official data
583,106,TM,Detailed trade matrix,44,Colombia,229,United Kingdom,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,90,,Official data
583,107,TM,Detailed trade matrix,44,Colombia,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1081,,Official data
583,108,TM,Detailed trade matrix,48,Costa Rica,255,Belgium,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1,,Official data
583,109,TM,Detailed trade matrix,48,Costa Rica,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,339,,Official data
583,110,TM,Detailed trade matrix,48,Costa Rica,105,Israel,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,12,,Official data
583,111,TM,Detailed trade matrix,48,Costa Rica,110,Japan,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,48,,Official data
583,112,TM,Detailed trade matrix,48,Costa Rica,166,Panama,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,149,,Official data
583,113,TM,Detailed trade matrix,48,Costa Rica,229,United Kingdom,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,12,,Official data
583,114,TM,Detailed trade matrix,48,Costa Rica,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,5,,Official data
583,115,TM,Detailed trade matrix,107,Côte d'Ivoire,4,Algeria,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3230,,Official data
583,116,TM,Detailed trade matrix,107,Côte d'Ivoire,255,Belgium,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,225243,,Official data
583,117,TM,Detailed trade matrix,107,Côte d'Ivoire,21,Brazil,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,91058,,Official data
583,118,TM,Detailed trade matrix,107,Côte d'Ivoire,33,Canada,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,76684,,Official data
583,119,TM,Detailed trade matrix,107,Côte d'Ivoire,351,China,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,13246,,Official data
583,120,TM,Detailed trade matrix,107,Côte d'Ivoire,41,"China, mainland",5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,13246,,Official data
583,121,TM,Detailed trade matrix,107,Côte d'Ivoire,63,Estonia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,119063,,Official data
583,122,TM,Detailed trade matrix,107,Côte d'Ivoire,68,France,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,89044,,Official data
583,123,TM,Detailed trade matrix,107,Côte d'Ivoire,79,Germany,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,243426,,Official data
583,124,TM,Detailed trade matrix,107,Côte d'Ivoire,81,Ghana,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,17561,,Official data
583,125,TM,Detailed trade matrix,107,Côte d'Ivoire,84,Greece,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1479,,Official data
583,126,TM,Detailed trade matrix,107,Côte d'Ivoire,101,Indonesia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,9251,,Official data
583,127,TM,Detailed trade matrix,107,Côte d'Ivoire,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,111327,,Official data
583,128,TM,Detailed trade matrix,107,Côte d'Ivoire,110,Japan,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,935,,Official data
583,129,TM,Detailed trade matrix,107,Côte d'Ivoire,131,Malaysia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,182339,,Official data
583,130,TM,Detailed trade matrix,107,Côte d'Ivoire,138,Mexico,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,36415,,Official data
583,131,TM,Detailed trade matrix,107,Côte d'Ivoire,150,Netherlands,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,836760,,Official data
583,132,TM,Detailed trade matrix,107,Côte d'Ivoire,173,Poland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,33316,,Official data
583,133,TM,Detailed trade matrix,107,Côte d'Ivoire,200,Singapore,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,11004,,Official data
583,134,TM,Detailed trade matrix,107,Côte d'Ivoire,203,Spain,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,50387,,Official data
583,135,TM,Detailed trade matrix,107,Côte d'Ivoire,38,Sri Lanka,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,47,,Official data
583,136,TM,Detailed trade matrix,107,Côte d'Ivoire,211,Switzerland,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,1096,,Official data
583,137,TM,Detailed trade matrix,107,Côte d'Ivoire,222,Tunisia,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,5373,,Official data
583,138,TM,Detailed trade matrix,107,Côte d'Ivoire,223,Turkey,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,95745,,Official data
583,139,TM,Detailed trade matrix,107,Côte d'Ivoire,229,United Kingdom,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,49196,,Official data
583,140,TM,Detailed trade matrix,107,Côte d'Ivoire,231,United States of America,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,718857,,Official data
583,141,TM,Detailed trade matrix,107,Côte d'Ivoire,252,Unspecified,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,7101,,Official data
583,142,TM,Detailed trade matrix,167,Czech Republic,106,Italy,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,39,,Official data
583,143,TM,Detailed trade matrix,54,Denmark,210,Sweden,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,4,,Official data
583,144,TM,Detailed trade matrix,58,Ecuador,9,Argentina,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,288,,Official data
583,145,TM,Detailed trade matrix,58,Ecuador,14,Barbados,5922,Export Value,661,"Cocoa, beans",2011,2011,1000 US$,3,,Official data
